Company,Total GHG,Matched
"Crosstex lig, llc",44348.0,None
"Crosstex processing services, llc",165649.0,None
Csl behring llc,31603.0,None
Cumberland county solid waste management,45333.0,None
Cumberland county improvement authority,55007.0,None
"Cutrale citrus juices usa, inc.",120124.0,None
Cytec industries inc.,398955.0,None
"Mdu resources group, inc.",1018458.0,None
Nrg energy inc.,32608359.0,None
Southwestern energy company,832946.0,Southwestern energy co
Caesars entertainment corporation,73253.0,None
Caithness long island llc,796374.0,None
Santa fe solid waste management agency,7958.0,None
Starwood energy group,40377.4,None
Tyr energy,2596.4000000000005,None
Starwod energy group,7878.400000000001,None
Try energy,3601.8,None
"Taiheiyo cement u.s.a., inc.",1605397.0,None
"Texas industries, inc",2404639.0,None
"Nextera energy, inc.",1614644.0,None
"City of lubbock, texas",137108.0,None
California institute of technology,60295.0,None
Occidental petroleum corporation,5284901.75,Occidental petroleum corp
Occidental petroleum corporation/vintage production california llc,6329.0,None
City of redlands municipal utilities department,17850.0,None
Connacher oil and gas,131188.0,None
"Nustar energy, l.p.",178677.0,None
"Campbell county, virginia",38666.0,None
Northern star generation services llc,1111646.0,None
Great river energy,10753603.0,None
Camden county government,56289.0,None
Camden plant holding llc,192407.0,None
Scana corporation,14653301.0,None
Florida municipal power agency,1282967.0,None
Lg&e and ku energy llc,33716289.0,None
Invenergy llc,332149.23,None
Canton drop forge,58627.0,None
Florida power and light company,31593477.0,None
", inc  [registered agent: the corporation trust company of nevada]",53157.0,None
Carbide industries llc,51872.0,None
Berkshire hathaway inc.,23951900.6,None
Cargill inc,33273.0,None
Cargill inc.,45984.0,None
"Cargill,incorporated",29446.0,None
The mosaic company,1631834.0,None
Arkansas electric cooperative corporation,456628.0,None
"Zeledyne, llc",127292.0,None
Carmeuse north america,1063632.0,None
Calypso energy holdings llc,3346243.0,None
Atlantic power generation,574494.0,None
Municipality of carolina,67573.0,None
Toolrock holdings inc.,68511.0,None
Brookfield renewable power,14144.0,None
Central valley financing authority,150596.0,None
Carson cogeneration company,156528.0,None
Regional refuse disposal district,48480.0,None
Rochester public utilities,102128.0,None
"Boise, inc",59054.0,None
Omaha public power district,11533080.0,None
